AnnotationAccession,SeqID,Plasmid_Length,Genus,Kingdom,Annotation,isolation_source
GCF_000834235.1_ASM83423v1,NZ_CP009490.1,96196,Yersinia,Bacteria,Unannotated,
GCF_025960325.1_ASM2596032v1,NZ_CP110116.1,89800,Arthrobacter,Bacteria,Earth,Tomato (Solanum lycopersicum) cultivar KnowYou301 rhizosphere
GCF_008693865.1_ASM869386v1,NZ_CP044078.1,145925,Paracoccus,Bacteria,Humans,clinical isolate
GCF_001182785.1_ASM118278v1,NZ_CP012101.1,337579,Bacillus,Bacteria,Earth,soil sample
GCF_018323885.1_ASM1832388v1,NZ_AP024587.1,125776,Citrobacter,Bacteria,Unannotated,
GCF_905219285.2_AI2715v1_cp,NZ_OW848982.1,97252,Escherichia,Bacteria,Humans,Hospital Infanta Leonor (Madrid)
GCF_905231995.2_AI2703v1_cp,NZ_OW849378.1,145050,Escherichia,Bacteria,Humans,Hospital Universitario Gregorio Maranon (Madrid)
GCF_018323885.1_ASM1832388v1,NZ_AP024586.1,187150,Citrobacter,Bacteria,Unannotated,
GCF_013635255.1_ASM1363525v1,NZ_CP058188.1,169857,Enterobacter,Bacteria,Human-impacted,Wastewater influent sample
GCF_001663435.1_ASM166343v1,NZ_CP015026.1,170926,Klebsiella,Bacteria,Humans,
GCF_004117135.1_ASM411713v1,NZ_CP034475.1,613013,Pantoea,Bacteria,Plants,Leaf from Rome apple cultivar
GCF_000783755.2_ASM78375v2,NZ_CP026058.1,326508,Citrobacter,Bacteria,Humans,Lung Tissue grind
GCF_000317835.1_ASM31783v1,NC_019789.1,556630,Deinococcus,Bacteria,Earth,Arid soil collected from a coastal desert north of Antofagasta in Chile
GCF_003432225.1_ASM343222v1,NZ_CP031811.1,169460,Klebsiella,Bacteria,Unannotated,
GCF_009257425.1_NL-IR-2,NZ_CP044633.1,8905,Borrelia,Bacteria,,
GCF_003010735.1_ASM301073v1,NZ_CP027613.1,191856,Klebsiella,Bacteria,Unannotated,
GCF_030053135.1_ASM3005313v1,NZ_CP125649.1,199472,Rhizobium,Bacteria,Plants,
GCF_003571745.1_ASM357174v1,NZ_CP032225.1,108879,Klebsiella,Bacteria,Unannotated,
GCF_028335525.1_ASM2833552v1,NZ_CP116539.1,15523,Enterococcus,Bacteria,Livestock,fecal sample
GCF_904863325.1_INF354,NZ_LR890370.1,234772,Klebsiella,Bacteria,Humans,urine
GCF_000783435.2_ASM78343v2,NZ_CP026974.1,369152,Achromobacter,Bacteria,Humans,endotracheal aspirate
GCF_009662135.1_ASM966213v1,NZ_CP045785.1,223637,Shigella,Bacteria,Humans,
GCF_008124085.1_ASM812408v1,NZ_CP043182.1,64997,Escherichia,Bacteria,Animals,mouse gut
GCF_016726885.1_ASM1672688v1,NZ_CP068105.1,57485,Pediococcus,Bacteria,Unannotated,
GCF_010669225.1_ASM1066922v1,NZ_CP048628.1,46189,Megamonas,Bacteria,Humans,feces
GCF_009873495.1_ASM987349v1,NZ_CP046704.1,337072,Nostoc,Bacteria,Plants,lichen thallus
GCF_025860405.1_ASM2586040v1,NZ_CP063799.1,29597,Tolypothrix,Bacteria,Earth,soil
GCF_016903895.1_ASM1690389v1,NZ_CP069995.1,181659,Klebsiella,Bacteria,Humans,
GCF_007833475.1_ASM783347v1,NZ_CP022406.1,266180,Clostridium,Bacteria,Unannotated,
GCF_021535005.1_ASM2153500v1,NZ_CP091028.1,62643,Escherichia,Bacteria,Livestock,pig
GCF_029718025.1_ASM2971802v1,NZ_CP099359.1,116881,Escherichia,Bacteria,Earth,Pooled sediment sample collected from floor of pig farm
GCF_013340745.1_ASM1334074v1,NZ_CP050184.1,368179,Bacillus,Bacteria,Unannotated,
GCF_013393905.1_ASM1339390v1,NZ_CP040280.1,44291,Nostoc,Bacteria,Plants,
GCF_023546885.1_ASM2354688v1,NZ_CP097372.1,34418,Escherichia,Bacteria,Water,water
GCF_018408855.1_ASM1840885v1,NZ_AP024327.1,671923,Caballeronia,Bacteria,Earth,enriched soil
GCF_030179475.1_ASM3017947v1,NZ_CP109741.1,53976,Serratia,Bacteria,Humans,swab
GCF_029229505.1_ASM2922950v1,NZ_CP118672.1,38109,Komagataeibacter,Bacteria,Human-impacted,Kombucha tea culture
GCF_016454685.1_ASM1645468v1,NZ_CP051453.1,99888,Salmonella,Bacteria,,
GCF_025398355.1_ASM2539835v1,NZ_CP104662.1,115456,Klebsiella,Bacteria,Humans,urine
GCF_030515235.1_ASM3051523v1,NZ_CP082060.1,33429,Escherichia,Bacteria,Humans,CSF
GCF_008124005.1_ASM812400v1,NZ_CP043220.1,64997,Escherichia,Bacteria,Livestock,chicken
GCF_001361075.2_Ty585,NZ_LT904853.1,106704,Salmonella,Bacteria,Unannotated,Not known
GCF_002151465.1_ASM215146v1,NZ_CP019847.1,30418,Borreliella,Bacteria,Humans,human
GCF_013734595.1_ASM1373459v1,NZ_CP056684.1,134986,Klebsiella,Bacteria,Human-impacted,Wastewater influent sample
GCF_001661985.2_ASM166198v2,NZ_CP122322.1,143524,Pantoea,Bacteria,Plants,
GCF_014858545.1_ASM1485854v1,NZ_CP062224.1,270696,Salmonella,Bacteria,Humans,stool
GCF_032603535.1_ASM3260353v1,NZ_CP117891.1,26308,Borreliella,Bacteria,,
GCF_002996945.1_ASM299694v1,NZ_CP027537.1,100279,Escherichia,Bacteria,Unannotated,
GCF_900069965.1_KPN_RH201207,NZ_LT216438.1,117916,Klebsiella,Bacteria,,
GCF_017086565.1_ASM1708656v1,NZ_CP069609.1,76096,Priestia,Bacteria,Humans,
GCF_019977735.1_ASM1997773v1,NZ_AP025020.1,218359,Calothrix,Bacteria,Unannotated,
GCF_013798355.1_ASM1379835v1,NZ_CP056911.1,118265,Citrobacter,Bacteria,Human-impacted,Wastewater influent sample
GCF_000829985.1_ASM82998v1,NZ_CP009168.1,94959,Escherichia,Bacteria,Livestock,udder acute mastitis
GCF_000019845.1_ASM1984v1,NC_010578.1,66727,Beijerinckia,Bacteria,Unannotated,
GCF_002587885.1_ASM258788v1,NZ_CP023947.1,153385,Klebsiella,Bacteria,Humans,Rectal
GCF_003071305.1_ASM307130v1,NZ_CP028954.1,214704,Klebsiella,Bacteria,Unannotated,
GCF_001750885.1_ASM175088v1,NZ_CP014530.1,223688,Enterococcus,Bacteria,Humans,organic material
GCF_030053175.1_ASM3005317v1,NZ_CP125637.1,1334842,Rhizobium,Bacteria,Plants,
GCF_024918475.1_ASM2491847v1,NZ_CP103698.1,172383,Klebsiella,Bacteria,Humans,blood
GCF_029719185.1_ASM2971918v1,NZ_CP099368.1,84106,Citrobacter,Bacteria,Earth,Pooled sediment sample collected from floor of cattle farm
GCF_016903715.1_ASM1690371v1,NZ_CP069944.1,216716,Klebsiella,Bacteria,Humans,
GCF_016406485.1_ASM1640648v1,NZ_CP066382.1,257742,Enterococcus,Bacteria,Humans,rectal swab
GCF_008931365.1_ASM893136v1,NZ_CP042557.1,327867,Acinetobacter,Bacteria,Human-impacted,Room 7
GCF_030515375.1_ASM3051537v1,NZ_CP082074.1,103675,Escherichia,Bacteria,Humans,blood
GCF_001188675.1_ASM118867v1,NZ_CP006807.1,142771,Yersinia,Bacteria,,
GCF_008801925.2_ASM880192v2,NZ_CP062808.1,82842,Cupriavidus,Bacteria,Human-impacted,Sediment of a freshwater pond enriched in a fixed-bed reactor with 2;6-dichlorophenol as sole carbon and energy source
GCF_005491205.1_ASM549120v1,NZ_CP028037.1,390026,Nissabacter,Bacteria,,
GCF_904866205.1_INF145,NZ_LR890584.1,126908,Klebsiella,Bacteria,Humans,blood
GCF_023538955.1_ASM2353895v1,NZ_CP097416.1,223898,Klebsiella,Bacteria,Humans,Human gut
GCF_005280755.1_ASM528075v1,NZ_CP040060.1,37318,Coxiella,Bacteria,Animals,
GCF_002028385.1_ASM202838v1,NZ_CP020040.1,518852,Streptomyces,Bacteria,Earth,soil
GCF_003846405.1_ASM384640v1,NZ_CP033453.1,103635,Cereibacter,Bacteria,,
GCF_032609235.1_ASM3260923v1,NZ_CP118291.1,26994,Borreliella,Bacteria,,
GCF_009730455.1_ASM973045v1,NZ_CP046333.1,2586495,Cupriavidus,Bacteria,Human-impacted,sedimentation pond in a zinc factory
GCF_008505035.1_ASM850503v1,NZ_CP043856.1,51628,Enterobacter,Bacteria,Humans,rectal screen
GCF_028622675.1_ASM2862267v1,NZ_CP117734.1,69985,Klebsiella,Bacteria,Humans,skin
GCF_900069965.1_KPN_RH201207,NZ_LT216439.1,214718,Klebsiella,Bacteria,,
GCF_001022275.1_ASM102227v1,NZ_CP011655.1,109688,Citrobacter,Bacteria,Humans,Respiratory
GCF_030062875.1_ASM3006287v1,NZ_CP114514.1,126456,Ligilactobacillus,Bacteria,Animals,Feces
GCF_023035415.1_ASM2303541v1,NZ_CP073208.1,48822,Borrelia,Bacteria,Humans,blood
GCF_024223415.1_ASM2422341v1,NZ_CP100503.1,64795,Escherichia,Bacteria,Livestock,pooled poultry feces
GCF_003432265.1_ASM343226v1,NZ_CP031799.1,133343,Klebsiella,Bacteria,Livestock,sterile
GCF_014100815.1_ASM1410081v1,NZ_CP053288.1,270159,Thermus,Bacteria,,
GCF_002934505.1_ASM293450v1,NZ_CP026233.1,206795,Citrobacter,Bacteria,Unannotated,
GCF_020525585.1_ASM2052558v1,NZ_CP084785.1,78123,Klebsiella,Bacteria,Humans,blood
GCF_004526255.1_ASM452625v1,NZ_CP038182.1,115257,Escherichia,Bacteria,Humans,
GCF_013925325.1_ASM1392532v1,NZ_CP055908.1,109959,Citrobacter,Bacteria,,
GCF_013318355.2_ASM1331835v2,NZ_CP116685.1,494181,Agrobacterium,Bacteria,Unannotated,
GCF_003935895.2_ASM393589v2,NZ_CP054057.1,142760,Scandinavium,Bacteria,Humans,wound
GCF_031326085.1_ASM3132608v1,NZ_CP133675.1,386016,Agrobacterium,Bacteria,,
GCF_030007455.1_ASM3000745v1,NZ_CP124825.1,160770,Klebsiella,Bacteria,Humans,Human gut
GCF_016765655.2_ASM1676565v2,NZ_CP086109.1,307911,Skermanella,Bacteria,Human-impacted,crude oil contaminated deserts
GCF_031890525.1_ASM3189052v1,NZ_CP134760.1,164260,Pantoea,Bacteria,,
GCF_012241395.2_ASM1224139v2,NZ_CP064932.1,446029,Rhizobium,Bacteria,Earth,soil
GCF_023066725.1_ASM2306672v1,NZ_CP087640.1,133772,Klebsiella,Bacteria,Humans,
GCF_016027775.1_ASM1602777v1,NZ_CP065697.1,336502,Delftia,Bacteria,Unannotated,
GCF_001922385.1_ASM192238v1,NZ_CP018821.1,310952,Sphingomonas,Bacteria,Unannotated,
GCF_003408575.1_ASM340857v1,NZ_CP031572.1,106689,Enterobacter,Bacteria,Humans,Rectal swab
GCF_903993115.2_AI2763v1_cp,NZ_OW970515.1,121074,Klebsiella,Bacteria,Humans,Hospital Univeristario de Bellvitge (Barcelona)
GCF_026248005.1_ASM2624800v1,NZ_CP110963.1,203817,Klebsiella,Bacteria,Humans,rectal swab
GCF_000517605.1_ASM51760v1,NZ_CP007046.1,667306,Rhizobium,Bacteria,Plants,root nodule of Trifolium uniflorum collected on the edge of a valley
GCF_003798425.1_ASM379842v1,NZ_CP033712.1,70035,Yersinia,Bacteria,Humans,
GCF_019904295.1_ASM1990429v1,NZ_CP065362.1,511666,Ruegeria,Bacteria,Water,ENVO:00000150
GCF_019355815.1_ASM1935581v1,NZ_CP072165.1,332684,Rhizobium,Bacteria,Plants,
GCF_015583955.1_ASM1558395v1,NZ_CP064844.1,86630,Listeria,Bacteria,Humans,human listeriosis
GCF_013267295.1_ASM1326729v1,NZ_CP053973.1,166759,Bacillus,Bacteria,Unannotated,
GCF_013267155.1_ASM1326715v1,NZ_JABRWM010000002.1,342373,Agrobacterium,Bacteria,,
GCF_021534945.1_ASM2153494v1,NZ_CP091047.1,82263,Escherichia,Bacteria,Food,pork
GCF_027558075.1_ASM2755807v1,NZ_CP086199.1,65740,Macrococcoides,Bacteria,Livestock,otitis
GCF_028551275.1_ASM2855127v1,NZ_CP117026.1,183879,Sphingomonas,Bacteria,Water,Tap water (bathroom)
GCF_002968455.1_ASM296845v1,NZ_CP027143.1,51949,Enterobacter,Bacteria,Unannotated,
GCF_904863435.1_KSB1_1B,NZ_LR890292.1,133165,Klebsiella,Bacteria,Humans,Rectal swab
GCF_019434355.1_ASM1943435v1,NZ_CP059994.1,312426,Xanthomonas,Bacteria,Unannotated,
GCF_020783495.1_ASM2078349v1,NZ_CP086135.1,182426,Pantoea,Bacteria,Plants,
GCF_006352265.1_ASM635226v1,NZ_CP040069.1,97582,Escherichia,Bacteria,Animals,feces
GCF_025398715.1_ASM2539871v1,NZ_CP104692.1,143089,Enterobacter,Bacteria,Humans,
GCF_907176135.1_USZ_VRE5_P5_hybrid_assembly,NZ_OU015947.1,202753,Enterococcus,Bacteria,Humans,Superficial wound
GCF_016452005.1_ASM1645200v1,NZ_CP051312.1,101468,Salmonella,Bacteria,Livestock,swine
GCF_025985165.1_ASM2598516v1,NZ_CP087831.1,129623,Moraxella,Bacteria,Livestock,
GCF_905232115.2_AI2699v1_cp,NZ_OW849471.1,209598,Klebsiella,Bacteria,Humans,Hospital Universitario Central de Asturias (Oviedo)
GCF_001022275.1_ASM102227v1,NZ_CP011654.1,100873,Citrobacter,Bacteria,Humans,Respiratory
GCF_028335705.1_ASM2833570v1,NZ_CP116576.1,40660,Enterococcus,Bacteria,Livestock,fecal sample
GCF_001648215.1_ASM164821v1,NZ_CP014756.1,121030,Klebsiella,Bacteria,Humans,
GCF_023375205.1_ASM2337520v1,NZ_CP088193.1,30822,Enterococcus,Bacteria,Livestock,fecal sample
GCF_009363555.1_ASM936355v1,NZ_CP045378.1,83443,Sulfitobacter,Bacteria,Human-impacted,Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C
GCF_013727455.1_ASM1372745v1,NZ_CP056257.1,206605,Citrobacter,Bacteria,Human-impacted,Wastewater influent sample
GCF_023066625.1_ASM2306662v1,NZ_CP087613.1,106447,Klebsiella,Bacteria,Humans,
GCF_013393945.1_ASM1339394v1,NZ_CP040300.1,111206,Nostoc,Bacteria,Plants,
GCF_009363555.1_ASM936355v1,NZ_CP045376.1,100647,Sulfitobacter,Bacteria,Human-impacted,Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C
GCF_009295925.1_ASM929592v1,NZ_CP045147.1,70303,Yersinia,Bacteria,Animals,
GCF_013167175.1_ASM1316717v1,NZ_CP038288.1,99810,Escherichia,Bacteria,Livestock,cattle feces
GCF_013708155.1_ASM1370815v1,NZ_CP055399.1,121982,Enterobacter,Bacteria,,
GCF_002180135.1_ASM218013v1,NZ_CP021682.1,49828,Escherichia,Bacteria,Unannotated,
GCF_016415565.1_ASM1641556v1,NZ_CP066670.1,23540,Enterococcus,Bacteria,Humans,rectal swab
GCF_003186535.1_ASM318653v1,NZ_CP021166.1,177145,Klebsiella,Bacteria,Humans,urine
GCF_000023785.1_ASM2378v1,NC_012983.1,84492,Hirschia,Bacteria,Unannotated,
GCF_020035535.1_ASM2003553v1,NZ_CP083351.1,735709,Ensifer,Bacteria,Human-impacted,The sample was isolated from cell culture after 9 month of microevolution experiment
GCF_023299745.1_ASM2329974v1,NZ_CP097028.1,189968,Enterococcus,Bacteria,Food,pet food (BARF)
GCF_009363555.1_ASM936355v1,NZ_CP045374.1,181132,Sulfitobacter,Bacteria,Human-impacted,Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C
GCF_000939415.2_HGAP_assembly_of_Acinetobacter_baumannii_ORAB01,NZ_CP015484.1,110965,Acinetobacter,Bacteria,Humans,bodily fluid
GCF_023066665.1_ASM2306666v1,NZ_CP087625.1,139857,Klebsiella,Bacteria,Humans,
GCF_016027095.1_ASM1602709v1,NZ_CP065671.1,76480,Sphingomonas,Bacteria,Unannotated,
GCF_002211825.1_ASM221182v1,NZ_CP022136.1,85657,Salmonella,Bacteria,Unannotated,
GCF_013743055.1_ASM1374305v1,NZ_CP056637.1,118387,Citrobacter,Bacteria,Human-impacted,Wastewater influent sample
GCF_002211585.1_ASM221158v1,NZ_CP022118.1,416444,Salmonella,Bacteria,Unannotated,
GCF_016452145.1_ASM1645214v1,NZ_CP051345.1,277441,Salmonella,Bacteria,Livestock,swine
GCF_005491205.1_ASM549120v1,NZ_CP028039.1,101864,Nissabacter,Bacteria,,
GCF_020221755.1_ASM2022175v1,NZ_CP084191.1,56665,Lactococcus,Bacteria,Unannotated,
GCF_030908705.1_ASM3090870v1,NZ_CP133131.1,63329,Escherichia,Bacteria,,
GCF_000299475.1_ASM29947v1,NC_018662.1,75573,Escherichia,Bacteria,Humans,
GCF_028335725.1_ASM2833572v1,NZ_CP116568.1,61461,Enterococcus,Bacteria,Livestock,fecal sample
GCF_025677855.1_ASM2567785v1,NZ_CP064892.1,29099,Tolypothrix,Bacteria,Water,Fresh water
GCF_004322955.1_ASM432295v1,NZ_CP036445.1,9293,Klebsiella,Bacteria,Unannotated,
GCF_030733905.1_ASM3073390v1,NZ_CP132317.1,1712903,Shinella,Bacteria,,
GCF_003812385.1_ASM381238v1,NZ_CP033769.1,97783,Acinetobacter,Bacteria,Humans,Sputum
GCF_018135625.1_ASM1813562v1,NZ_CP073079.1,96014,Caulobacter,Bacteria,Earth,soil
GCF_021655575.1_ASM2165557v1,NZ_AP025198.1,27822,Helicobacter,Bacteria,Animals,
GCF_017088465.1_ASM1708846v1,NZ_CP070915.1,217265,Escherichia,Bacteria,Humans,feces
GCF_003030425.1_ASM303042v1,NZ_CP028284.1,78592,Enterococcus,Bacteria,Humans,Eye
GCF_008693465.1_ASM869346v1,NZ_CP044049.1,213613,Klebsiella,Bacteria,Humans,clinical isolate
GCF_000406765.2_ASM40676v2,NZ_CP011984.1,13838,Klebsiella,Bacteria,Unannotated,
GCF_003571585.1_ASM357158v1,NZ_CP032173.1,153522,Klebsiella,Bacteria,Unannotated,
GCF_002934505.1_ASM293450v1,NZ_CP026234.1,280328,Citrobacter,Bacteria,Unannotated,
GCF_003030425.1_ASM303042v1,NZ_CP028283.1,49440,Enterococcus,Bacteria,Humans,Eye
GCF_002866045.1_ASM286604v1,NZ_CP014152.1,241076,Clostridium,Bacteria,Unannotated,
GCF_032375125.1_ASM3237512v1,NZ_CP135644.1,92285,Escherichia,Bacteria,,
GCF_016415425.1_ASM1641542v1,NZ_CP066647.1,55497,Enterococcus,Bacteria,Humans,rectal swab
GCF_003699975.1_ASM369997v1,NZ_CP023879.1,196943,Raoultella,Bacteria,,
GCF_013635015.1_ASM1363501v1,NZ_CP058182.1,103340,Klebsiella,Bacteria,Human-impacted,Freshwater sample from downstream of wastewater treatment plant
GCF_013624375.1_ASM1362437v1,NZ_CP058120.1,178580,Klebsiella,Bacteria,Human-impacted,Freshwater sample from upstream of wastewater treatment plant
GCF_030944405.1_ASM3094440v1,NZ_CP132340.1,236309,Janthinobacterium,Bacteria,,
GCF_024134545.1_ASM2413454v1,NZ_CP099838.1,90897,Nocardiopsis,Bacteria,Human-impacted,Guide to Japan Collection of Microorganisms
GCF_032606795.1_ASM3260679v1,NZ_CP117914.1,17359,Borreliella,Bacteria,,
GCF_022592015.1_ASM2259201v1,NZ_CP093246.1,270632,Moellerella,Bacteria,Food,Food: Red deer meat
GCF_017088485.1_ASM1708848v1,NZ_CP070931.1,52585,Escherichia,Bacteria,Humans,feces
GCF_022870485.1_ASM2287048v1,NZ_CP095009.1,350887,Halococcus,Archaea,Earth,Rock salt from Permian period
GCF_906464875.1_BX8117,NZ_OD940439.1,41839,Enterococcus,Bacteria,Humans,Urine
GCF_016451985.1_ASM1645198v1,NZ_CP051308.1,154276,Salmonella,Bacteria,Livestock,bovine
GCF_002902885.1_ASM290288v1,NZ_CP026128.1,110754,Acinetobacter,Bacteria,Unannotated,
GCF_009017495.1_ASM901749v1,NZ_CP044991.1,115048,Deinococcus,Bacteria,Unannotated,
GCF_016904235.1_ASM1690423v1,NZ_CP070072.1,136908,Escherichia,Bacteria,Humans,
GCF_013749075.1_ASM1374907v1,NZ_CP056522.1,113797,Klebsiella,Bacteria,Human-impacted,Wastewater influent sample
GCF_003798405.1_ASM379840v1,NZ_CP033710.1,69815,Yersinia,Bacteria,Humans,
GCF_001941905.1_ASM194190v1,NZ_CP018932.1,97731,Bacillus,Bacteria,Earth,Air
GCF_019977735.1_ASM1997773v1,NZ_AP025021.1,93644,Calothrix,Bacteria,Unannotated,
GCF_021497265.1_ASM2149726v1,NZ_CP053863.1,222711,Klebsiella,Bacteria,Humans,
GCF_013267255.1_ASM1326725v1,NZ_CP053950.1,328123,Bacillus,Bacteria,Unannotated,
GCF_017639105.1_ASM1763910v1,NZ_CP067266.1,303836,Escherichia,Bacteria,Human-impacted,waste water
GCF_011493005.1_ASM1149300v1,NZ_CP049159.1,734052,Caballeronia,Bacteria,Earth,soil
GCF_028622675.1_ASM2862267v1,NZ_CP117731.1,204852,Klebsiella,Bacteria,Humans,skin
GCF_023375465.1_ASM2337546v1,NZ_CP091229.1,25324,Enterococcus,Bacteria,Humans,fecal sample
GCF_013624225.1_ASM1362422v1,NZ_CP058113.1,156264,Klebsiella,Bacteria,Human-impacted,Freshwater sample from downstream of wastewater treatment plant
GCF_016028815.1_ASM1602881v1,NZ_CP065734.1,84291,Lactococcus,Bacteria,Unannotated,
GCF_002192295.1_ASM219229v1,NZ_CP021738.1,46159,Escherichia,Bacteria,Unannotated,
GCF_008365235.1_ASM836523v1,NZ_CP043516.1,56515,Enterobacter,Bacteria,Humans,screening swab
GCF_016455345.1_ASM1645534v1,NZ_CP066731.1,192427,Enterococcus,Bacteria,,
GCF_024652845.1_ASM2465284v1,NZ_CP102421.1,46509,Clostridium,Bacteria,Animals,bird (jay)
GCF_023035295.1_ASM2303529v1,NZ_CP075091.1,28495,Borrelia,Bacteria,Animals,tick tissue
GCF_008935055.1_ASM893505v1,NZ_CP043029.1,82698,Pseudobutyrivibrio,Bacteria,Livestock,rumen
GCF_002788115.1_ASM278811v1,NZ_CP024863.1,139059,Escherichia,Bacteria,Unannotated,
GCF_013728275.1_ASM1372827v1,NZ_CP056146.1,165251,Klebsiella,Bacteria,Human-impacted,Freshwater sample from downstream of wastewater treatment plant
GCF_002754815.1_ASM275481v1,NZ_CP024582.1,382413,Roseomonas,Bacteria,Humans,Peripheral Blood
GCF_013167295.1_ASM1316729v1,NZ_CP038304.1,96937,Escherichia,Bacteria,Livestock,cattle feces
GCF_000517605.1_ASM51760v1,NZ_CP007047.1,518052,Rhizobium,Bacteria,Plants,root nodule of Trifolium uniflorum collected on the edge of a valley
GCF_018283505.2_ASM1828350v2,NZ_CP084395.1,374716,Klebsiella,Bacteria,Humans,Surveillance
GCF_000092885.1_ASM9288v1,NC_014120.1,489136,Paraburkholderia,Bacteria,Unannotated,
GCF_012241395.2_ASM1224139v2,NZ_CP064934.1,413456,Rhizobium,Bacteria,Earth,soil
GCF_013714825.1_ASM1371482v1,NZ_CP055861.1,94718,Escherichia,Bacteria,,
GCF_017639105.1_ASM1763910v1,NZ_CP067269.1,44683,Escherichia,Bacteria,Human-impacted,waste water
GCF_025643515.1_ASM2564351v1,NZ_CP102465.1,240894,Burkholderia,Bacteria,Humans,sputum
GCF_001753405.1_ASM175340v1,NZ_CP015957.1,48354,Legionella,Bacteria,Unannotated,environmental
GCF_030440445.1_ASM3044044v1,NZ_CP098529.1,98093,Halomonas,Bacteria,Food,Cheese rind
GCF_003073335.1_ASM307333v1,NZ_CP028997.1,109938,Klebsiella,Bacteria,Unannotated,
GCF_008728655.1_ASM872865v1,NZ_CP044283.1,526979,Rhodococcus,Bacteria,Human-impacted,rubber production plant territory
GCF_904863425.1_INF348,NZ_LR890324.1,138469,Klebsiella,Bacteria,Humans,urine
GCF_030007315.1_ASM3000731v1,NZ_CP124805.1,174299,Klebsiella,Bacteria,Humans,Human gut
GCF_014334195.1_ASM1433419v1,NZ_CP060513.1,254662,Salmonella,Bacteria,Unannotated,
GCF_027945015.1_ASM2794501v1,NZ_CP116192.1,108072,Escherichia,Bacteria,Human-impacted,sink drain
GCF_004291175.2_ASM429117v2,NZ_CP068032.1,55199,Staphylococcus,Bacteria,Humans,implant-asscoiated infection
GCF_002848365.2_ASM284836v2,NZ_CP025492.2,150432,Legionella,Bacteria,Humans,Respiratory sample - sputum
GCF_030020765.1_ASM3002076v1,NZ_CP125082.1,36823,Klebsiella,Bacteria,Humans,aerobic blood culture bottle
GCF_014679325.1_ASM1467932v1,NZ_AP023428.1,120829,Escherichia,Bacteria,Humans,urinary catheter
GCF_024223795.1_ASM2422379v1,NZ_CP100481.1,46338,Klebsiella,Bacteria,Livestock,pooled poultry feces
GCF_013749075.1_ASM1374907v1,NZ_CP056521.1,114544,Klebsiella,Bacteria,Human-impacted,Wastewater influent sample
GCF_949786325.1_EC0026B_C,NZ_OX460331.1,73423,Escherichia,Bacteria,,
GCF_016804025.1_ASM1680402v1,NZ_CP053018.1,220791,Klebsiella,Bacteria,Humans,
GCF_014775695.1_ASM1477569v1,NZ_CP061865.1,36447,Photobacterium,Bacteria,Animals,
GCF_010727325.1_ASM1072732v1,NZ_AP022566.1,304163,Mycolicibacterium,Bacteria,Unannotated,
GCF_903978215.1_CFBP_2533,NZ_LR828263.1,41650,Xanthomonas,Bacteria,,
GCF_009363355.1_ASM936335v1,NZ_CP045339.1,1722714,Vibrio,Bacteria,Human-impacted,Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C
GCF_001718635.1_ASM171863v1,NZ_CP013412.1,157775,Burkholderia,Bacteria,Unannotated,environmental
GCF_021952745.1_ASM2195274v1,NZ_CP085864.1,63589,Klebsiella,Bacteria,Human-impacted,environmental swab veterinary clinic
GCF_016026855.1_ASM1602685v1,NZ_CP065740.1,402813,Bacillus,Bacteria,Unannotated,
GCF_030179035.1_ASM3017903v1,NZ_CP109731.1,184755,Enterobacter,Bacteria,Human-impacted,Sink Drain
GCF_003343155.1_ASM334315v1,NZ_CP017805.1,17257,Staphylococcus,Bacteria,,
GCF_002591075.1_ASM259107v1,NZ_CP023918.1,106914,Klebsiella,Bacteria,Humans,Urine
GCF_011039955.1_ASM1103995v1,NZ_CP049318.1,1831039,Caballeronia,Bacteria,Earth,soil
GCF_000835365.1_ASM83536v1,NZ_CP010303.1,36604,Campylobacter,Bacteria,Humans,
GCF_016904495.1_ASM1690449v1,NZ_CP070133.1,151845,Escherichia,Bacteria,Humans,
GCF_014775695.1_ASM1477569v1,NZ_CP061866.1,23189,Photobacterium,Bacteria,Animals,
GCF_017753625.1_ASM1775362v1,NZ_CP072527.1,113682,Acinetobacter,Bacteria,Unannotated,
GCF_029720005.1_ASM2972000v1,NZ_CP099339.1,108225,Escherichia,Bacteria,Livestock,Pooled faeces sample collected from floor of poultry farm
GCF_904863205.1_INF008,NZ_LR890203.1,237123,Klebsiella,Bacteria,Humans,urine
GCF_004117135.1_ASM411713v1,NZ_CP034477.1,203713,Pantoea,Bacteria,Plants,Leaf from Rome apple cultivar
GCF_007922655.1_ASM792265v1,NZ_CP041624.1,95081,Escherichia,Bacteria,Humans,feces
GCF_023101105.1_ASM2310110v1,NZ_CP064706.1,234934,Bradyrhizobium,Bacteria,Plants,root nodule
GCF_000831565.1_ASM83156v1,NZ_CP010345.1,100061,Escherichia,Bacteria,Livestock,udder persistent mastitis
GCF_028994155.1_ASM2899415v1,NZ_CP118715.1,171838,Lysinibacillus,Bacteria,Human-impacted,Shoe
GCF_028335565.1_ASM2833556v1,NZ_CP116542.1,38387,Enterococcus,Bacteria,Livestock,fecal sample
