Node,Community,PIRACopyNumber,Plasmid_Length,Total_Chromosome_Length
NZ_CP051359.1,14,0.978340424,234536,4856212
NZ_CP062226.1,14,0.979199167,265014,4646755
NZ_CP029142.1,14,0.98591306,340462,5935069
NZ_CP016921.1,14,1.002677643,283369,5341571
NZ_CP097224.1,14,1.008747431,235390,5341245
NZ_CP103752.1,14,1.027411056,246522,5202247
NZ_CP031575.1,14,1.03042421,309444,4912800
NZ_CP135271.1,14,1.039893204,294358,4678298
NZ_CP100683.1,14,1.041516268,262557,4645547
NZ_CP060516.1,14,1.052231677,278034,5017156
NZ_AP023318.1,14,1.052432258,151734,4979828
NZ_CP031567.1,14,1.053921831,159840,4722490
NZ_CP069167.1,14,1.056335263,217773,4875539
NZ_CP062224.1,14,1.068997077,270696,4645545
NZ_CP051345.1,14,1.088649498,277441,4833900
NZ_AP023316.1,14,1.112785462,229829,4916845
NZ_AP023305.1,14,1.114099941,128709,4979412
NZ_AP023310.1,14,1.115798455,229829,4889480
NZ_CP008899.1,14,1.129693626,255013,4633407
NZ_CP097233.1,14,1.13047235,284698,5343549
NZ_CP037959.1,14,1.130639736,278374,4645553
NZ_CP012931.1,14,1.138550388,236176,4809628
NZ_CP109698.1,14,1.140793034,303280,4938911
NZ_AP025654.1,14,1.14237019,256525,4790761
NZ_CP044215.1,14,1.146090975,333880,5059877
NZ_CP051382.1,14,1.1483418,235025,4792518
NZ_CP049968.1,14,1.154339088,230339,4836724
NZ_CP043223.1,14,1.158994364,257405,4766173
NZ_CP044256.1,14,1.169383448,290830,4757321
NZ_CP133343.1,14,1.170190266,292549,4706035
NZ_CP100716.1,14,1.176180857,294171,4955572
NZ_CP026172.1,14,1.176861205,243967,5616605
NZ_CP040382.1,14,1.177988558,317051,4767771
NZ_CP044051.1,14,1.178975077,282877,5455728
NZ_CP060518.1,14,1.178979189,233305,4715485
NZ_CP103665.1,14,1.189297246,271931,5182479
NZ_CP090134.1,14,1.196740525,294023,4647585
NZ_CP032223.1,14,1.20108615,201149,5250521
NZ_LR890313.1,14,1.203007344,201460,5812602
NZ_CP042525.1,14,1.207838981,339433,5088693
NZ_CP050312.1,14,1.208207232,288096,4689992
NZ_CP056528.1,14,1.208417067,244448,5087480
NZ_CP100686.1,14,1.225930331,279202,4645547
NZ_CP072457.1,14,1.238418244,185386,5419314
NZ_CP024497.1,14,1.245053921,212097,5232513
NZ_CP042552.1,14,1.259770542,288659,5068785
NZ_CP072971.1,14,1.264387132,342015,4794271
NZ_CP042506.1,14,1.269660115,357530,4772356
NZ_CP100690.1,14,1.284370716,258970,4745939
NZ_LR890737.1,14,1.291843384,217238,5220279
NZ_CP020068.1,14,1.321018372,276460,5357430
NZ_CP120886.1,14,1.330975197,250922,5322527
NZ_CP025340.1,14,1.331233883,220023,4835517
NZ_CP028929.1,14,1.340750345,283371,5341581
NZ_CP133337.1,14,1.349451267,334536,4707941
NZ_LR890573.1,14,1.354558213,212097,5228889
NZ_CP103680.1,14,1.356435275,361069,4762345
NZ_CP024517.1,14,1.358945691,212079,5228900
NZ_CP128924.1,14,1.369702682,235972,4766183
NZ_CP097238.1,14,1.389903918,283371,5337811
NZ_CP011601.1,14,1.428198518,295619,5529134
NZ_CP042579.1,14,1.428318142,275807,4964300
NZ_CP024501.1,14,1.440146123,212195,5234963
NZ_CP083792.1,14,1.445190918,250854,5448052
NZ_LR890192.1,14,1.454002689,218183,5230102
NZ_CP056587.1,14,1.46101811,394284,5031645
NZ_CP019647.1,14,1.461211289,275801,4999862
NZ_CP042489.1,14,1.472052839,340181,4780403
NZ_CP100745.1,14,1.484723224,299493,4730593
NZ_CP030186.1,14,1.511461477,298919,4854398
NZ_CP115835.1,14,1.534469495,329489,4883017
NZ_CP103684.1,14,1.539442803,398127,4763122
NZ_OW995942.1,14,1.587278011,250090,5218036
NZ_CP055310.1,14,1.699880352,269564,6204086
NZ_CP042494.1,14,1.780575107,357530,5018104
NZ_CP029729.1,14,1.79147468,250887,5262516
NZ_CP026398.1,14,1.793066173,249238,5531975
NZ_CP066512.1,14,1.82822795,479365,5315153
NZ_CP117751.1,14,1.877396876,310787,4861751
NZ_CP026242.1,14,2.17224555,355789,5016446
NZ_CP032179.1,14,2.179993465,260460,5121015
NZ_CP114565.1,14,2.202152262,359392,4999663
NZ_CP026391.1,14,2.304763776,330021,4781217
NZ_OW969876.1,14,2.367977058,264758,5176111
NZ_CP072946.1,14,2.401637279,417086,4880473
NZ_CP055316.1,14,2.486646859,273344,5847876
NZ_CP026208.1,14,2.584705972,298633,5103533
NZ_CP026171.1,14,2.586999464,341250,4832521
NZ_CP086389.1,14,2.954946524,142329,4809054
NZ_CP058810.1,14,3.051827198,205772,4865373
NZ_CP090138.1,14,3.412056944,300750,4647582
NZ_CP082241.1,14,5.146520894,293328,5427711
NZ_CP074702.1,14,6.277407106,219118,5041266
NZ_CP068208.1,2,0.255998463,44804,3604384
NZ_CP032006.1,2,2.17348367,6464,3493479
NZ_CP032267.1,2,14.11237628,3470,3630637
NZ_CP077376.1,2,16.74932263,6838,3226399
NZ_CP069928.1,4,0.282825936,45379,5860928
NZ_CP091023.1,4,0.599692615,87231,4865811
NZ_CP082356.1,4,0.718259809,88468,4764500
NZ_CP116102.1,4,0.871803302,76416,4731674
NZ_CP069982.1,4,0.920190311,116491,5058969
NZ_LR130558.1,4,1.043971936,52792,5100178
NZ_CP082358.1,4,1.060436772,89947,4730997
NZ_CP091046.1,4,1.162300778,79133,5104329
NZ_CP028383.1,4,1.182835668,67750,5044460
NZ_LR890605.1,4,1.305881915,56756,4827191
NZ_CP100533.1,4,1.306626317,67280,4907133
NZ_OX637966.1,4,1.367398558,74854,5185826
NZ_CP086262.1,4,1.465212873,51013,5268110
NZ_LR890511.1,4,1.5206088,44618,4783018
NZ_CP023923.1,4,1.660700575,140557,5315094
NZ_CP049970.1,4,1.705943926,101847,4836724
NZ_CP032205.1,4,1.737077252,70275,5410835
NZ_CP014112.1,4,1.75355628,69183,4829687
NZ_CP119452.1,4,1.787051624,51197,4641624
NZ_CP069531.1,4,1.944230588,68185,5223257
NZ_LR898876.1,4,1.967272936,82205,5278133
NZ_CP103662.1,4,2.287072355,51731,5100777
NZ_LR890715.1,4,2.642301408,70350,5230228
NZ_CP135687.1,4,2.707071468,70341,4947167
NZ_CP135724.1,4,2.862544457,70302,5012486
NZ_CP038299.1,4,3.895906101,70894,5219269
NZ_CP135721.1,4,4.000180583,70302,5284425
NZ_CP032836.1,4,4.154297605,76772,5203185
NZ_CP056880.1,4,4.383578584,107020,5253739
NZ_CP082930.1,4,5.013310745,165260,4666130
NZ_CP056885.1,4,5.323188787,107020,5252135
NZ_CP082076.1,4,6.601815491,72918,5004715
NZ_AP023444.1,9,0.256445487,58668,7141037
NZ_CP063787.1,9,0.841806674,192899,9007860
NZ_CP063789.1,9,0.889405766,92234,9007860
NZ_CP064881.1,9,0.894804077,194804,9038614
NZ_CP064884.1,9,0.989355848,77766,9038614
NZ_CP046712.1,9,1.965328348,40105,7340101
NZ_CP076560.1,15,0.257743616,56747,4095679
NZ_CP033449.1,15,1.117077401,80181,4180774
NZ_CP045413.1,15,1.834752052,60595,4049107
NZ_CP045395.1,15,1.884376457,60597,4195115
NZ_CP048284.1,9,0.262096707,288152,5081013
NZ_CP048283.1,9,0.274676351,298312,5081013
NZ_CP125645.1,9,0.295161718,293100,4499098
NZ_CP125648.1,9,0.308107976,216650,4676374
NZ_CP125644.1,9,0.355049231,326235,4499098
NZ_CP048499.1,9,0.372671351,386412,5183496
NZ_CP119865.1,9,0.420369485,544190,4897921
NZ_CP125642.1,9,0.431891241,559700,4499098
NZ_CP048504.1,9,0.437944899,386412,5192404
NC_023146.1,9,0.442085432,220701,4144900
NZ_CP058527.1,9,0.449915336,520191,4943504
NC_007488.2,9,0.455921054,114179,4131542
NZ_CP053442.1,9,0.458739028,261950,4835120
NZ_CP125641.1,9,0.459928007,654550,4499098
NZ_CP048530.1,9,0.476905576,386412,5155809
NZ_CP067171.1,9,0.482523653,190534,3089821
NZ_CP048494.1,9,0.509909795,386412,5302235
NZ_CP053443.1,9,0.510604471,260097,4835120
NZ_CP119538.1,9,0.521094231,542870,4909992
NZ_CP086233.1,9,0.531043363,1795699,6748853
NZ_CP048282.1,9,0.53244698,548709,5081013
NZ_CP048541.1,9,0.542300141,386412,5154568
NZ_CP115897.1,9,0.545404394,277859,3929298
NZ_CP072139.1,9,0.555882975,184677,5147764
NZ_CP020440.2,9,0.578858168,227674,3622127
NZ_CP048510.1,9,0.590284829,386412,5192189
NZ_CP067126.1,9,0.601452205,402633,3557425
NZ_CP100444.1,9,0.607553824,1754053,9084844
NZ_CP119418.1,9,0.614685404,542869,4910279
NZ_CP048520.1,9,0.615543072,520191,4942895
NZ_CP048560.1,9,0.619363695,343831,4936195
NZ_CP067125.1,9,0.623476584,429813,3557425
NZ_CP048281.1,9,0.623539251,727585,5081013
NZ_CP048545.1,9,0.625608692,386412,5182451
NZ_CP048534.1,9,0.631587219,386412,5192239
NZ_CP132056.1,9,0.661911998,560999,4911672
NZ_CP048591.1,9,0.670622383,386412,5162634
NZ_CP048475.1,9,0.670655503,386412,4948164
NZ_CP048571.1,9,0.671915476,386412,5202880
NZ_CP048566.1,9,0.674675829,387908,5061140
NZ_CP125653.1,9,0.680393877,540617,4676374
NZ_CP048515.1,9,0.685610169,386412,5192243
NZ_CP044082.1,9,0.693924367,274662,3637766
NZ_AP027374.1,9,0.698335105,293186,2913684
NZ_CP125651.1,9,0.720661483,659089,4676374
NC_013924.1,9,0.73133167,254950,3751858
NZ_CP102773.1,9,0.737382328,580662,5687190
NZ_CP134725.1,9,0.743786579,574725,4286451
NZ_CP053441.1,9,0.746291268,492830,4835120
NZ_CP044989.1,9,0.74727728,380021,3380712
NZ_CP048479.1,9,0.753821937,386412,4947894
NZ_CP066361.1,9,0.765007693,1580177,3580177
NZ_CP062115.1,9,0.768255853,170880,5667809
NZ_CP072154.1,9,0.768541526,332678,5625120
NZ_CP048483.1,9,0.774636431,386412,5092048
NZ_CP033448.1,9,0.782682187,144732,4180774
NZ_CP125639.1,9,0.78380563,631455,4892895
NC_014918.1,9,0.785322824,425539,6264489
NZ_CP116702.1,9,0.791347861,565096,4877046
NZ_CP079857.1,9,0.79753763,542868,4917157
NZ_CP020331.1,9,0.799018232,593079,4671477
NZ_CP098804.1,9,0.79919424,767332,4746307
NZ_CP134729.1,9,0.799381089,519021,4059988
NZ_CP033452.1,9,0.810798547,187167,4256430
NZ_CP056049.1,9,0.814517749,514751,4875033
NZ_CP102590.1,9,0.815360912,1442636,3839527
NZ_CP067131.1,9,0.818874187,449297,2779753
NZ_CP141054.1,9,0.822145768,653815,2853118
NZ_CP115896.1,9,0.823384309,527820,3929298
NZ_CP072889.1,9,0.82449394,1186145,3032004
NZ_CP067132.1,9,0.828929946,420573,2779753
NZ_CP125638.1,9,0.831643942,652849,4892895
NZ_CP077368.1,9,0.833419528,511735,3999686
NZ_CP067130.1,9,0.842348689,599725,2779753
NZ_CP065021.1,9,0.847955362,1514798,3610844
NZ_CP086134.1,9,0.849223022,555522,4089578
NZ_CP014127.2,9,0.866184488,470309,4050121
NZ_CP116732.1,9,0.867972429,735041,4869442
NZ_CP120364.1,9,0.87986122,1543136,3634833
NZ_CP124735.1,9,0.88144018,335580,4557786
NZ_CP025062.1,9,0.889850483,424198,4231441
NZ_CP055270.1,9,0.891085004,436826,4849270
NZ_CP056044.1,9,0.891482617,514751,4873973
NZ_CP066358.1,9,0.893884329,1719217,3580177
NZ_CP046723.1,9,0.894385602,563807,4022781
NZ_CP120366.1,9,0.896869509,1418903,3634833
NZ_CP134720.1,9,0.913582005,555281,4201259
NZ_CP123845.1,9,0.916382849,463796,4884466
NZ_CP065022.1,9,0.921936526,1716787,3610844
NZ_CP054391.1,9,0.924769161,1664490,3703795
NZ_CP140300.1,9,0.934863244,1657699,3634832
NZ_CP134754.1,9,0.940651869,555257,4106996
NZ_CP120216.1,9,0.940883856,605495,5457809
NZ_CP058536.1,9,0.946038467,337786,3492515
NZ_CP031650.1,9,0.946356544,520959,4128817
NZ_CP059091.1,9,0.946366054,557771,4169790
NZ_CP020399.1,9,0.949314612,550288,5772571
NZ_CP134745.1,9,0.949956895,569248,4186627
NZ_CP141053.1,9,0.950864335,1730091,2853118
NZ_CP123849.1,9,0.956107331,628949,4865165
NZ_CP134750.1,9,0.969664281,575199,4038916
NZ_CP044079.1,9,0.972270426,363819,3637766
NZ_CP067073.1,9,0.972279938,1068678,4005874
NZ_CP104696.1,9,0.973474867,585023,6174464
NZ_CP046066.1,9,0.975678475,1847800,3537514
NZ_CP072149.1,9,0.977400778,332678,5625110
NZ_CP046163.1,9,0.977735152,1848698,3538509
NZ_CP128216.1,9,0.977812454,542869,4919369
NZ_CP072173.1,9,0.979171877,1332287,4005685
NZ_CP067072.1,9,0.983314474,1332287,4005874
NZ_CP134762.1,9,0.986412921,571710,4185742
NZ_CP086114.1,9,0.987012426,328999,6098631
NZ_CP117266.1,9,0.988825142,304177,3816680
NZ_CP104765.1,9,0.98883062,1144253,3200986
NZ_CP048034.1,9,0.989246347,513383,4040629
NZ_CP117418.1,9,0.990484404,1319841,3439207
NZ_CP122321.1,9,0.994771123,582658,4098036
NZ_CP033444.1,9,0.997795043,155073,4303385
NZ_CP110833.1,9,0.998068294,611263,4827367
NZ_CP021795.1,9,0.998386494,1700327,3791696
NZ_CP072158.1,9,0.998631802,333441,5320938
NZ_CP021799.1,9,0.999392911,1680729,3671869
NZ_CP072174.1,9,1.003044971,1068678,4005685
NZ_CP072138.1,9,1.003755577,1007991,5147764
NZ_CP045356.1,9,1.003902448,1848699,3539493
NZ_CP045335.1,9,1.004232151,539584,6069958
NZ_CP045385.1,9,1.007329492,811101,3455485
NZ_CP122325.1,9,1.00755635,541337,4165783
NZ_CP134758.1,9,1.007868549,537957,4093174
NZ_CP062113.1,9,1.008278643,560213,5667809
NZ_CP054392.1,9,1.010360351,1383549,3703795
NZ_CP134734.1,9,1.011411085,612559,3978822
NZ_CP045329.1,9,1.012044746,538462,6069958
NZ_CP064935.1,9,1.01248496,1111454,4537630
NZ_CP045345.1,9,1.016036299,538462,6069958
NZ_CP098801.1,9,1.017147589,1441560,4746307
NZ_CP058639.1,9,1.018725218,926330,6783648
NZ_CP034470.1,9,1.022538627,613013,4047712
NZ_CP045381.1,9,1.025163556,418081,6170751
NZ_CP072144.1,9,1.025478063,335820,5072539
NZ_AP024326.1,9,1.030482441,1015131,5409372
NZ_CP134738.1,9,1.033279248,547579,4031236
NZ_CP132303.1,9,1.033511722,1465988,3571468
NC_013744.1,9,1.037308359,698495,3889038
NZ_CP045351.1,9,1.041819827,1317907,3138671
NZ_CP063167.1,9,1.044624178,2479635,6666455
NC_014633.1,9,1.046025231,961624,2046464
NZ_CP117264.1,9,1.046911183,339618,3816680
NZ_CP033436.1,9,1.050903595,198588,4441614
NZ_AP024325.1,9,1.052930396,1684880,5409372
NZ_CP053440.1,9,1.055083713,971705,4835120
NZ_CP085528.1,9,1.060616223,1645902,3580141
NZ_CP034475.1,9,1.064323342,613013,4047712
NZ_AP024327.1,9,1.067907478,671923,5409372
NZ_CP125637.1,9,1.071492728,1334842,4892895
NZ_CP028037.1,9,1.072240876,390026,3928779
NZ_CP046333.1,9,1.073404153,2586495,3928086
NZ_CP086109.1,9,1.07672597,307911,6407183
NZ_CP007046.1,9,1.079744856,667306,4854518
NZ_CP065362.1,9,1.080039387,511666,3653432
NZ_CP072165.1,9,1.080398951,332684,5492816
NZ_CP132317.1,9,1.090491437,1712903,3810368
NZ_CP049159.1,9,1.096918118,734052,4010354
NZ_CP024582.1,9,1.100036495,382413,4180106
NZ_CP007047.1,9,1.100727981,518052,4854518
NZ_CP064934.1,9,1.100921214,413456,4537630
NZ_CP045339.1,9,1.105513762,1722714,3313709
NZ_CP049318.1,9,1.107197844,1831039,3989243
NZ_CP021798.1,9,1.115467918,1363628,3671869
NZ_CP064933.1,9,1.117744308,352110,4537630
NZ_CP123840.1,9,1.119970978,659230,5011534
NZ_CP012748.1,9,1.122482722,2555069,6927635
NZ_CP090580.1,9,1.129195271,657971,5946469
NZ_CP072143.1,9,1.129638321,364788,5072539
NZ_CP085527.1,9,1.130625038,1217792,3580141
NZ_CP007050.1,9,1.135412637,259408,4854518
NZ_CP021794.1,9,1.14237385,1433621,3791696
NZ_CP132315.1,9,1.14522696,1924368,3410868
NZ_CP007049.1,9,1.166506741,262704,4854518
NZ_CP140299.1,9,1.202552564,1418903,3634832
NZ_CP049317.1,9,1.20893675,1990521,3989243
NZ_CP049158.1,9,1.264067553,1826371,4010354
NZ_CP049157.1,9,1.357105657,1996666,4010354
NZ_CP132312.1,9,1.504694842,514212,3964868
NZ_CP132313.1,9,1.509035691,585062,3964868
NZ_CP125096.1,9,1.558055576,463796,4872785
NZ_CP071523.1,4,0.285938692,49605,5078748
NZ_CP102880.1,4,0.477698553,100448,5320447
NZ_CP080227.1,4,0.502377534,82875,4963420
NZ_CP058211.1,4,0.610171958,95282,4766686
NZ_CP102886.1,4,0.624267819,100448,5320357
NZ_CP075698.1,19,0.698342609,106835,5163725
NZ_CP028431.1,4,0.74359726,76698,5238870
NZ_CP028434.1,4,0.757327549,78526,5233637
NZ_CP124494.1,4,0.852830167,63429,4895052
NZ_CP040669.1,4,1.013859794,107560,4904134
NZ_CP077647.1,4,1.272134299,138757,4798159
NZ_CP099341.1,4,1.359315984,87118,4495859
NZ_CP028118.1,19,1.444889767,78469,5198840
NZ_CP029691.1,4,1.620353333,78329,5359785
NZ_OW849529.1,4,1.754616456,149443,5150246
NZ_CP135495.1,4,1.862106483,128121,4845357
NZ_CP077650.1,4,2.065884168,138757,4797801
NZ_CP091031.1,4,2.066818637,71807,4990670
NZ_CP103720.1,4,2.087994297,83426,5131607
NZ_CP056166.1,4,2.099754781,87925,4754030
NZ_CP027576.1,4,2.736647433,78427,5411943
NZ_CP091025.1,4,2.789243947,71807,5041942
NZ_CP024887.1,10,3.36201481,102544,5036925
NZ_CP068154.1,4,3.7134233,72354,4938568
NZ_CP061406.1,4,3.81500323,85405,5435729
NZ_CP066357.1,9,0.338671087,402731,9115474
NZ_CP066352.1,9,1.007606002,572704,9745549
NZ_JABRWM010000001.1,9,1.05798694,154534,5283710
NZ_CP038858.1,4,0.619399602,131158,4835919
NZ_CP043515.1,5,0.628036092,125849,4801031
NZ_CP027044.1,5,0.696133097,168873,5181675
NZ_CP124488.1,4,0.701081257,69343,4979425
NZ_CP132549.1,4,0.80850752,242042,4633417
NZ_CP034167.1,4,1.123669012,136645,4623903
NZ_CP039454.1,4,1.13701836,151140,4766619
NZ_CP029982.1,4,1.330084399,71543,4703465
NZ_CP047272.1,14,1.529227838,271744,5305959
NZ_CP047270.1,14,1.578710211,277055,5268984
NZ_CP047274.1,14,2.02802421,277055,5216668
NZ_CP047276.1,14,2.090485657,282258,5167126
NZ_CP047280.1,14,2.114012828,262422,5195939
NZ_CP013047.2,4,2.686618578,123171,5471721
NZ_CP069816.1,5,0.701946461,172460,5751896
NZ_OW968125.1,4,0.831227364,106836,4877427
NZ_CP082074.1,4,1.072050596,103675,5115175
NZ_CP034477.1,4,1.108065574,203713,4047712
NZ_CP056739.1,4,1.148125077,100493,5094430
NZ_CP027438.1,4,1.299219536,74904,5012557
NZ_CP057562.1,10,1.305373153,124527,4545164
NZ_CP057566.1,10,1.478098094,124527,4545163
NZ_CP082088.1,4,1.729545815,100023,4825997
NZ_CP045058.1,4,2.042415075,270878,4930422
NZ_CP045054.1,4,2.061568875,270881,4930424
NZ_CP045061.1,4,2.089682447,270863,4930420
NZ_OW967976.1,4,2.178332784,106879,4869560
NZ_CP027156.1,14,0.411476574,184525,5274107
NZ_CP084804.1,14,0.600764528,332984,5416099
NZ_CP071394.1,14,0.618795397,251953,5924548
NZ_CP057067.1,14,0.624139198,242087,5149748
NZ_CP057460.1,14,0.628540925,256547,5374831
NZ_LT904879.1,14,0.713305978,215515,4769894
NZ_CP051379.1,14,0.728094944,224721,4870722
NZ_CP053049.1,14,0.748298724,224991,4865042
NZ_CP087612.1,14,0.765095444,281138,5319600
NZ_OW969913.1,14,0.782428441,298591,5442973
NZ_CP099305.1,14,0.821709102,221069,6015170
NZ_CP022495.1,14,0.832370804,236555,4850334
NZ_CP058213.1,14,0.869824536,220911,6015151
NZ_CP103666.1,14,0.90231974,269284,5182479
NZ_LR890350.1,14,0.904414199,300631,4963328
NZ_CP099307.1,14,0.984831186,221119,6015334
NZ_CP020902.1,14,0.98817522,338512,5380605
NZ_CP103504.1,14,0.99183858,235473,5352213
NZ_CP031580.1,14,1.033165455,86800,5242834
NZ_CP034054.1,14,1.034642201,299188,5284191
NZ_CP070915.1,14,1.091066025,217265,4722363
NZ_CP084395.1,14,1.100788021,374716,5414231
NZ_CP053053.1,14,1.118136967,219745,4884266
NZ_CP072926.1,14,1.120743563,318691,5362742
NZ_CP117741.1,14,1.170255336,341460,5411190
NZ_CP072918.1,14,1.175710187,341914,5366754
NZ_CP031818.1,14,1.214964487,430829,5146051
NZ_CP071028.1,14,1.229621142,340568,5371519
NZ_CP074088.1,14,1.248051438,335489,5371618
NZ_CP070891.1,14,1.274631793,341276,5374086
NZ_AP023312.1,14,1.337314865,230500,4915174
NZ_CP020524.1,14,1.355942666,177196,4905831
NZ_CP069904.1,14,1.356371634,358127,5220139
NZ_CP034046.1,14,1.450853311,345775,5319653
NZ_CP021699.1,14,1.516946836,354705,5165071
NZ_CP083446.1,14,1.538219988,349403,5260182
NZ_CP024507.1,14,1.624927577,310025,5228889
NZ_CP014052.1,14,1.625819901,217123,5228904
NZ_CP032208.1,14,1.635578287,310872,5280811
NZ_CP066856.1,14,1.739421932,311937,5339564
NZ_CP065568.1,14,1.880201021,247565,4972399
NZ_CP043904.1,14,1.971362999,119324,5044620
NZ_CP055482.1,14,2.088069257,262877,6330682
NZ_CP013966.1,14,2.581756984,156086,5100520
NZ_CP103691.1,5,2.831615356,449953,5880191
NZ_CP060810.1,14,3.096904377,346514,5458399
NZ_CP117746.1,14,3.111579915,381441,5419391
NZ_CP056484.1,14,3.309492621,262877,6331260
NZ_CP084985.1,14,3.384090128,382377,5379443
NZ_CP053936.1,7,0.266519893,56203,5214223
NZ_CP053933.1,7,0.269193819,56203,5214223
NZ_CP009718.1,7,0.31507394,56203,5213295
NZ_CP053977.1,7,0.455911059,82340,5228070
NZ_CP009599.1,7,0.548003879,55939,5256240
NZ_CP009332.1,7,0.583866358,82340,5232696
NZ_CP053966.1,7,0.688330784,61863,5342923
NZ_CP009603.1,7,0.712265554,51512,5271178
NZ_AP025271.1,7,0.967521043,64595,2790927
NZ_CP053990.1,7,1.294394694,51528,5271029
NZ_CP009594.1,7,1.296296549,51531,5270991
NZ_CP009638.1,7,1.477509652,61862,5342933
NZ_CP065742.1,7,1.810970673,52166,5264567
NZ_CP068482.1,7,1.87226508,28701,2858749
NZ_CP053982.1,7,1.912525058,55939,5256259
NZ_CP034684.1,7,2.074334438,162149,5283933
NZ_CP053996.1,7,2.760297899,51531,5271040
NZ_CP054567.1,7,8.733726237,55939,5281841
NZ_CP059930.1,8,0.267730232,99943,4650924
NZ_CP040810.1,8,0.28687103,79936,4576669
NZ_CP040809.1,8,0.301696561,80105,4576669
NZ_CP067247.1,8,0.336567813,74070,4820906
NZ_LT904889.1,8,0.3922976,65273,4781948
NZ_CP042900.1,8,0.415362239,117296,4958734
NZ_CP071396.1,8,0.464374795,46161,5924548
NZ_CP023897.1,8,0.474493835,51479,4711093
NZ_CP042974.1,8,0.477926297,117296,4957963
NZ_CP102875.1,8,0.487099873,45244,5286105
NZ_CP042902.1,8,0.498462758,113908,4837414
NZ_CP067276.1,8,0.504748786,72228,4664222
NZ_CP067268.1,8,0.544755002,53010,4648008
NZ_CP118538.1,8,0.607300029,84390,4812716
NZ_CP104480.1,8,0.621659704,44362,4919686
NZ_CP061110.1,8,0.624468923,51113,4847148
NZ_CP102900.1,8,0.626947211,45122,5229590
NZ_CP118391.1,8,0.637101181,58429,3762462
NZ_CP041956.1,8,0.724658144,74945,4856183
NZ_CP051393.1,8,0.733497968,51490,4796193
NZ_CP056335.1,8,0.825304183,78953,4883072
NZ_CP042971.1,15,0.879195991,41491,4985114
NZ_CP131963.1,8,0.90769489,51479,4743119
NZ_CP102896.1,8,0.91021092,46161,5225745
NZ_CP097715.1,8,0.918370247,42571,4787760
NZ_CP104489.1,8,0.921963598,44362,4806677
NZ_CP102892.1,8,0.936575076,46161,5273119
NZ_CP067313.1,8,0.939193669,104584,4631526
NZ_CP085862.1,8,0.958985712,57983,5188985
NZ_CP021759.1,8,0.999107765,46161,5406723
NZ_CP049607.1,8,1.029374126,68674,4559517
NZ_CP102905.1,8,1.060817847,45122,5227859
NZ_CP021682.1,8,1.085749044,49828,4810234
NZ_CP070931.1,15,1.094006649,52585,4668053
NZ_CP021738.1,8,1.098144109,46159,4864149
NZ_CP100481.1,8,1.104299414,46338,5200449
NZ_CP021692.1,8,1.136064746,46161,4862952
NZ_CP048825.1,8,1.157671495,64916,4622863
NZ_CP046430.1,8,1.161536758,83365,4812688
NZ_CP026200.1,8,1.184101244,97800,4869246
NZ_CP100495.1,8,1.185585062,47652,4712132
NZ_CP100513.1,8,1.193059354,46338,5357976
NZ_CP097725.1,8,1.218001091,42570,4787756
NZ_AP025660.1,8,1.237906587,56167,4907358
NZ_CP100499.1,8,1.246672562,46338,5892772
NZ_CP103531.1,8,1.268984642,54200,5001433
NZ_CP100524.1,8,1.303321853,46338,5200157
NZ_CP021534.1,8,1.316752721,46161,4830167
NZ_CP097723.1,8,1.335755125,39219,4724194
NZ_OW848789.1,8,1.355731334,92189,5066607
NZ_CP021681.1,8,1.371071341,95850,4810234
NZ_CP114151.1,5,1.377353584,131529,5965763
NZ_CP100517.1,8,1.386847637,47563,5326821
NZ_CP027050.1,8,1.409562613,50979,5395894
NZ_CP100528.1,8,1.409763478,46338,4644672
NZ_CP080093.1,8,1.449941338,56813,4680320
NZ_CP085076.1,8,1.506924517,100217,4965339
NZ_CP100549.1,8,1.509151497,46338,4679910
NZ_CP100599.1,8,1.514285993,46338,4701739
NZ_CP023878.1,8,1.517259949,108606,5615639
NZ_CP014069.2,8,1.528952603,53359,5030678
NZ_CP011639.1,8,1.672410952,69158,5477084
NZ_CP102890.1,8,1.679325396,46161,5273111
NZ_CP100483.1,8,1.733129238,46338,5948232
NZ_CP041947.1,8,1.754643256,47983,5349282
NZ_CP100489.1,8,1.766496534,46338,5095622
NZ_CP103490.1,8,1.785917466,51479,5354804
NZ_CP100543.1,8,1.794990445,46338,5191842
NZ_CP047573.1,8,1.805463045,113013,4561168
NZ_CP083447.1,8,1.81748767,48038,5260182
NZ_CP124815.1,8,1.954257051,43704,5033604
NZ_CP100505.1,8,2.069807193,46338,5559392
NZ_CP020512.1,8,2.141570181,46159,5087166
NZ_AP024206.1,8,2.328270702,46161,4751019
NZ_CP093241.1,8,2.446622617,54584,5026962
NZ_CP048392.1,8,2.488748435,45048,5316840
NZ_CP128918.1,8,2.52848114,49758,4980977
NZ_OW967968.1,8,2.648419128,46161,5101183
NZ_CP040859.1,8,2.732136661,60832,5441077
NZ_CP128915.1,8,2.760351038,51776,5120006
NZ_CP099292.1,8,3.132118288,43705,5014841
NZ_CP029446.1,8,3.754347953,69158,5540160
NZ_CP128935.1,8,4.860830336,50698,4990655
NZ_CP026496.1,8,5.270024866,58110,5246307
NZ_CP021734.1,8,5.68857755,85195,4786118
NZ_CP128954.1,8,6.787721854,45363,4091740
NZ_CP128921.1,8,6.79289209,58542,4978077
NZ_CP128890.1,8,7.37004601,51117,4800203
